keyword,name,category,subcategory,image,price,item_no,location,description,description_link,url
dimstal split klimaanlage,"DIMSTAL ECO Smart Inverter WiFi Ready 7,0 kW 24000 Split Klimagerät Klimaanlage",Heimwerker,Installation|Heizungs- & Klimasysteme|Mini-Split- & Inverter-Systeme|Haushaltsgeräte|Klimaanlagen & Heizgeräte|Klimageräte & Heizgeräte|Fenster- & Wandklimageräte,https://i.ebayimg.com/images/g/JAkAAOSwpqJfuCdg/s-l300.jpg,,373354661858,,"{'EEK': 'A++Golden-Fin SMND-24 ECO Smart Inverter', 'Produktart': 'Split- & Inverter-Klimageräte6000-7999W', 'Farbe': 'WeißDIMSTAL', 'Wandhalter': 'InklusiveWiFi-Ready', 'Standort': 'Alle RäumeHeizfunktion-Wärmepumpe, Fernbedienung, LED-Display, Timer, Ventilatorfunktion, Kühlmittel-Leckerkennung, Ruhemodus, Wandmontage, Entfeuchtungsfunktion', 'Geeignet für Räume bis zu': '95 bis 114 m²Netzbetrieben', 'Smart Home Kommunikationsprotokoll': 'WLAN (mit optionalem USB Modul)Inverter Technologie', 'Smart Home Kompatibilität': 'Amazon Alexa (mit optionalem USB Modul)Golden-Fin für langanhaltend hohen Wärmeaustausch', 'Ausführung': 'GoldenFin an Innen- und Ausseneinheit1032541803', 'Kältemittel': 'R324260345573447'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=373354661858&t=0&category=185110&seller=simando&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/373354661858
airtrack,3M 4M 6M X 10CM 20CM Turnmatte Air Track Tumbling Aufblasbar Gymnastikmatte,Sport,Weitere Sportarten|Turnen & Gymnastik|Geräte,https://i.ebayimg.com/images/g/IQYAAOSwE3RfmoXw/s-l300.jpg,"EUR 119,99",313277837375,,"{'länge': '10Ft(3M),13Ft(4M),20Ft(6M)nicht zutreffend', 'Aktivität': 'Fitness, Fitnessstudio & TrainingYoga aufblasbares Kissen', 'Denken': '4 Inches(10CM)/8 Inches(20CM)PVC'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=313277837375&t=1605606589000&category=79793&seller=luhuga&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/313277837375
gucci guertel fake,Original gucci gürtel,Kleidung & Accessoires,Damen|Damen-Accessoires|Gürtel,https://i.ebayimg.com/images/g/McQAAOSw9CtfuDbV/s-l300.jpg,"EUR 180,00",284088610002,,"{'Besonderheiten': 'MetallschnalleGürtel', 'Stil': 'HüftgürtelDamen', 'Herstellungsland und -region': 'ItalienNormalgröße', 'Größe': '80100% Baumwolle, Leder', 'Gürtelbreite': 'NormalTierdruck', 'Farbe': 'GrünLogo, Schnallen', 'Thema': 'Designer'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=284088610002&t=0&category=3003&seller=khatia*10&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/284088610002
krups ea 8100,Krups EA8100 Kaffeevollauto,Haushaltsgeräte,"Kaffee-, Tee- & Espressomaschinen|Kaffeevollautomaten|Mehr anzeigen Krups EA 8108 Espressomaschine - Schwarz",https://i.ebayimg.com/images/g/IrIAAOSw6DtYSCnG/s-l300.jpg,"EUR 399,90/Stk.",252672061688,,"{'EAN': '0010942215714Wassertank', 'Produktart': 'KaffeemaschineSchwarz', 'Farbe': 'SchwarzEA 8108', 'Inkludierte Bestandteile': 'WassertankKrups', 'Anzahl der Tassen': '15Edelstahl', 'MPN': 'EA810815 bar', 'Aufstellung': 'Freistehend1,8 L', 'Leistung': '1400 W'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=252672061688&t=1564914733000&category=65643&seller=fairmarkt-direkt&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/252672061688
airtrack,Air Turnmatte Aufblasbar Gymnastikmatte Air-track Tumbling Matte Training Track,Sport,Fitness & Jogging|Kleingeräte & Zubehör|Turn- & Bodenmatten|Sport|Weitere Sportarten|Turnen & Gymnastik|Geräte,https://i.ebayimg.com/images/g/98AAAOSw1TxfH4PJ/s-l300.jpg,"EUR 95,95",293172363511,,"{'Aktivität': 'Fitness, Fitnessstudio & TrainingDGNMT008B'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=293172363511&t=1601002095000&category=179806&seller=cclife2014&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/293172363511
gucci guertel fake,gucci gürtel schwarz original gebraucht ,Kleidung & Accessoires,Damen|Damen-Accessoires|Gürtel,https://i.ebayimg.com/images/g/5ewAAOSwTwtfqWGM/s-l300.jpg,,353279614123,,"{'Abteilung': 'DamenSchwarz', 'Material': 'LederGürtel'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=353279614123&t=0&category=3003&seller=saaq613&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/353279614123
fernseher ohne smart funktion,LED-TV EEK: A+ (A+++ - D) Dyon Movie Smart 43 XT D800173    108 cm (42.5 Zoll),"TV, Video & Audio",Fernseher,https://i.ebayimg.com/images/g/m~EAAOSwf8RfaBdT/s-l300.jpg,"EUR 223,23",293745749711,,"{'Herstellerfarbe': 'schwarzNicht verfügbar', 'Energy Efficiency': 'A+ (A+++ - D)Nicht verfügbar', 'Energy Efficiency Data': 'Bildschirmauflösung HD und Pixel (Calc): Full HD (1920 x 1080 pixDyon', 'Anzeigetechnologie': 'Nicht verfügbarschwarz', 'Bildschirmgröße': 'Nicht verfügbarD800173', 'UPC': '42605525422744260552542274'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=293745749711&t=1603467606000&category=11071&seller=conrad_electronic&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/293745749711
fernseher ohne smart funktion,"MEDION E14013 Fernseher 100,3cm/40“ Zoll LCD TV DVB-T2 Triple Tuner EPG CI+ A","TV, Video & Audio",Fernseher|Mehr anzeigen MEDION LIFE E14013 (MD31503) 40 Zoll (100...,https://i.ebayimg.com/images/g/rOYAAOSwtDNfmYNP/s-l300.jpg,"EUR 175,45",373274955290,,"{'Audio-/Videoeingänge': 'AV In, VGA D-Sub, HDMI, Fernsehantenne, SCARTLED LCD', 'Bildwiederholrate': '50Hz100,3 cm (39,5 Zoll)', 'Herstellernummer': '30029710E14013', 'EEK Spektrum': 'A+++ - D1080p', 'Integrierter Digitalempfänger': 'DVB-C, DVB-S2, DVB-T2, CI+Integrierter Mediaplayer, Kindersicherung, Sleeptimer, SWAP-Funktion, Mehrsprachiges Menü, Kopfhörerbuchse', 'Angebotspaket': 'NeinNicht unterstützt', 'Herstellergarantie': '2 JahreMEDION', 'Herstellerfarbe': 'schwarzschwarz', 'MD Nummer': 'MD315034061275138337'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=373274955290&t=1605905588000&category=11071&seller=medionshop-deutschland&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/373274955290
feed,FTM Samurai Baits Wafter Dumble 6 mm schwebend Method Feeder alle Sorten,Sport,"Angelsport|Köder, Futtermittel & Fliegen|Boilies & Angelfutter",https://i.ebayimg.com/images/g/OucAAOSwnAJeZ70-/s-l300.jpg,"EUR 6,35",264662618362,,"{'Köderart': 'Boilies6 mm', 'Fischart': 'Alle SüßwasserfischeBoilie Wafter', 'Farbe': 'MehrfarbigNeutral', 'Angelart': 'Method Feeder, Süßwasserangeln, Friedfischangeln22 g', 'Besonderheiten': 'Hakenköder, PopupDumble', 'Marke': 'FTM Samurai'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=264662618362&t=1592690101000&category=180128&seller=angelhaus&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/264662618362
cpap geraete,CPAP Therapiegerät Curasa II CPAP EUT™ Gerät NEU Schlafapnoe,Business & Industrie,Medizin & Labor|Medizinische Geräte|Beatmungsgeräte,https://i.ebayimg.com/images/g/PoAAAOSwev1c4~V7/s-l300.jpg,"EUR 248,00/Stk.",392300313422,,"{'Angebotspaket': 'NeinCurative Medical', 'Modifizierter Artikel': 'Nein6946903203725', 'EAN': '6946903203725'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=392300313422&t=1585221873000&category=30810&seller=kranz-medizintechnik_de&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/392300313422
cpap geraete,"ResMed AirSense 10 AutoSet inkl. Befeuchter, Schlaftherapie",Business & Industrie,Medizin & Labor|Medizinische Geräte|Beatmungsgeräte,https://i.ebayimg.com/images/g/aCgAAOSwJKJftoMi/s-l300.jpg,"EUR 656,90",224239392884,,{'Herstellernummer': 'SOM9630'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=224239392884&t=1605768950000&category=30810&seller=oxycaregmbh-bremen&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/224239392884
feed,"Prime Feed Premium Meisenknödel ohne Netz, 50x 80 g (3,75 EUR/kg)",Haustierbedarf,Vögel|Futter|Sonstige,https://i.ebayimg.com/images/g/3scAAOSwK~NfmUOe/s-l300.jpg,"EUR 14,99",332995912958,,{'Herstellernummer': '941317ScanFarm'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=332995912958&t=1603879840000&category=100424&seller=scanfarm&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/332995912958
